dataset,instruction,input,output,alternative_a,alternative_b,alternative_c,alternative_d
MedMCQA,Qual das seguintes afirmações não é verdadeira para as fibras nervosas mielinizadas:,,A,O impulso através das fibras mielinizadas é mais lento do que nas fibras não mielinizadas,Correntes de membrana são geradas nos nós de Ranvier,A condução saltatória dos impulsos é observada,A anestesia local é eficaz apenas quando o nervo não está coberto pela bainha de mielina
MedMCQA,Qual das seguintes afirmações não é verdadeira sobre os capilares glomerulares?,,A,A pressão oncótica do fluido que sai dos capilares é menor do que a do fluido que entra neles,A concentração de glicose nos capilares é a mesma que no filtrado glomerular,A constrição da arteríola aferente diminui o fluxo sanguíneo para os glomérulos,O hematócrito do fluido que sai dos capilares é menor do que o do fluido que entra neles
MedMCQA,Uma mulher de 29 anos com uma gravidez de 17 semanas tem um menino de 10 anos com síndrome de Down. Ela não quer outro filho com síndrome de Down; o melhor conselho para ela é,,C,"Não é necessário nenhum teste agora, pois sua idade é inferior a 35 anos",O ultrassom neste momento definitivamente dirá se o próximo bebê terá síndrome de Down ou não,Amostras de líquido amniótico mais análise cromossômica definitivamente dirão se o próximo bebê terá síndrome de Down ou não,A triagem sanguínea neste momento esclarecerá a imagem exata
MedMCQA,O transporte axonal é:,,C,Anterógrado,Retrogrado,Anterógrado e retrogrado,Nenhum
MedMCQA,"A relação baixa de insulina para glucagon é vista em todos esses, exceto:",,A,Síntese de glicogênio,Quebra de glicogênio,Gluconeogênese,Cetogênese
MedMCQA,Concentração de tropicamida:,,A,0.01,0.02,0.03,0.04
MedMCQA,Qual das seguintes afirmações é verdadeira em relação à Influenza H1N1?,,A,Mulher grávida com dor de garganta pode ser tratada imediatamente com oseltamivir sem teste diagnóstico na categoria B,Pessoas em uso prolongado de esteroides não podem receber Os-eltamivir,A categoria B se refere a casos de baixo risco,Pacientes da categoria B devem passar por testes imediatos
MedMCQA,Qual dos seguintes não é um ramo da artéria carótida externa no plexo de Kiesselbach?,,B,Artéria esfenopalatina,Artéria etmoidal anterior,Artéria palatina maior,Ramo septal da artéria labial superior
MedMCQA,Diagnóstico do seguinte ECG-,,B,Bigeminia ventricular,Alternância elétrica,P pulmonale,Insuficiência ventricular esquerda
MedMCQA,Um recém-nascido azul apresenta cianose. O raio-X do tórax revela campo pulmonar oligêmico e coração de tamanho normal. O diagnóstico mais provável é -,,B,Anomalia de Ebstein,Atresia pulmonar,Transposição das grandes artérias,Tetralogia de Fallot
MedMCQA,27. A disseminação lateral da cárie dentária é facilitada principalmente por,,B,Espinhos de esmalte,Junção dentinoesmalte,Lamelas de esmalte,Estrias de Retzius
MedMCQA,"Um residente de segundo ano de pós-graduação pede para você realizar uma gasometria arterial (ABG) em um paciente. Todas as afirmações a seguir são verdadeiras sobre a realização de uma ABG, exceto:",,A,"Antes de realizar a ABG, a seringa deve ser carregada com 0,3 cc de heparina","Níveis normais de pH, HCO e PCO podem não indicar ausência de um desequilíbrio ácido-base",Deve-se tentar um local diferente se o teste de Allen modificado for negativo,A artéria radial é o local preferido
MedMCQA,O centro de geração do ritmo respiratório está localizado em:,,B,Grupo respiratório dorsal,Complexo pré-Botzinger,Neurônios respiratórios ventrais,Centro pneumotáxico
MedMCQA,A apraxia da marcha é vista em episódios tromboembólicos envolvendo:,,A,ACA,MCA,PCA,Artéria coroide posterior
MedMCQA,Forças pesadas no ligamento periodontal causam:,,A,Hialinização,Atividade osteoclástica ao redor do dente,Atividade osteoblástica ao redor do dente,Reabsorção óssea da crista
MedMCQA,"Sobre N. gonorrhoea, todas as alternativas são verdadeiras, exceto",,B,Causa mais comum de uretrite em homens,Todas as cepas são altamente suscetíveis à penicilina,Cepas axorregênicas de ampla disseminação causam infecção gonocócica disseminada,Encontrado exclusivamente em seres humanos
MedMCQA,"Um paciente que estava em ventilação mecânica e sendo ventilado nos últimos dias, de repente retira o tubo endotraqueal. Qual é o próximo passo de manejo?",,A,"Avaliar o paciente, fornecer ventilação com bolsa e máscara e procurar por respiração espontânea",Interromper a ventilação com bolsa e máscara e reintubar,Sedá-lo e reintubar,Fazê-lo sentar e fazer fisioterapia
MedMCQA,"Em uma criança de 6 meses, uma mancha branca espessa semelhante a coalhada aparece na mucosa bucal. Ao esfregar, ela deixa uma mancha eritematosa. O diagnóstico mais provável é:",,D,Tuberculose,Líquen plano,Lúpus eritematoso,Candidíase
MedMCQA,Característica do fluxo sanguíneo venoso do membro inferior no duplex Doppler é?,,A,Monofásico,Bifásico,Trifásico,Não-fásico
MedMCQA,A fonte de íons de cálcio de uma ponte calcificada em um dente em que foi realizada uma pulpotomia com hidróxido de cálcio é:,,A,Transportado por vasos sanguíneos,Células desgastadas,Dentina,Do hidróxido de cálcio
